epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,55.6287,2.22547,3.81934,2.17074,1.80377,0,0.86735,0.83476,0.90087,0.4239,0.82911,0.80632,0.84811,0.33365,1.71228,2.83476,1.00707,1.43988,0,0.00197849,0.000659498,0.00197849,0.000659498,0.00197849,0.000659498,0.00197849,0.000659498
2,76.3233,1.64532,2.62434,0.91736,1.37798,0,0.94869,0.94872,0.97587,0.53066,0.93782,0.93107,0.95416,0.44279,1.49263,2.41863,0.7572,1.29593,0,0.00358462,0.00119487,0.00358462,0.00119487,0.00358462,0.00119487,0.00358462,0.00119487
3,96.0586,1.52121,2.36518,0.8136,1.29287,0,0.96779,0.97005,0.98442,0.54678,0.94491,0.94473,0.96205,0.46514,1.46239,2.28272,0.72083,1.26604,0,0.00479475,0.00159825,0.00479475,0.00159825,0.00479475,0.00159825,0.00479475,0.00159825
4,115.603,1.48666,2.26533,0.73744,1.24993,0,0.98003,0.96106,0.98868,0.56172,0.96495,0.94131,0.96453,0.47838,1.43392,2.24376,0.64782,1.23706,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
5,135.323,1.46161,2.20571,0.69756,1.23418,0,0.98161,0.98006,0.9907,0.5743,0.96855,0.95821,0.96726,0.49377,1.40096,2.1695,0.63991,1.21539,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
6,154.228,1.42654,2.14654,0.67501,1.21334,0,0.98279,0.9761,0.98993,0.58426,0.97046,0.96201,0.9725,0.50329,1.39269,2.16859,0.61511,1.21118,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
7,172.913,1.4064,2.13059,0.64675,1.20386,0,0.98366,0.97721,0.99143,0.59115,0.97162,0.96296,0.97767,0.50622,1.35899,2.13176,0.60253,1.19625,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
8,190.831,1.40563,2.09981,0.63806,1.19277,0,0.98792,0.97816,0.99335,0.59489,0.97099,0.96106,0.97782,0.50883,1.34761,2.11821,0.59564,1.19197,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
9,208.876,1.37649,2.05942,0.62084,1.1821,0,0.98567,0.97954,0.99346,0.59662,0.97038,0.96459,0.97782,0.51065,1.3496,2.10834,0.5867,1.18887,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
10,226.864,1.37514,2.06234,0.61594,1.18566,0,0.98563,0.97693,0.99372,0.59562,0.97422,0.96771,0.98066,0.51058,1.33694,2.11128,0.58733,1.18439,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
