epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.43305,1.8871,3.09216,1.45846,1.49605,0,0.92535,0.93005,0.96859,0.51911,0.9024,0.90313,0.9263,0.39882,1.51369,2.62235,1.45887,1.35862,0,0.000652482,0.000652482,0.000652482
2,24.6958,1.61212,2.59136,0.84268,1.32744,0,0.59577,0.77541,0.58472,0.28505,0.5795,0.74739,0.55101,0.21216,1.60646,3.11039,2.41789,1.45621,0,0.00130609,0.00130609,0.00130609
3,36.8728,1.57494,2.51952,0.78575,1.3306,0,0.87973,0.85438,0.93195,0.47799,0.85507,0.83476,0.88774,0.38004,1.57973,2.82923,0.89402,1.42225,0,0.0019465,0.0019465,0.0019465
4,46.2309,1.55787,2.47013,0.73123,1.31584,0,0.94039,0.93162,0.97469,0.52201,0.9139,0.88794,0.91383,0.41482,1.52715,3.03978,0.70746,1.41458,0,0.0019406,0.0019406,0.0019406
5,57.0437,1.58304,2.44915,0.76579,1.34567,0,0.96957,0.93257,0.98345,0.54304,0.93891,0.90123,0.93403,0.41186,1.44036,2.48245,0.70712,1.3469,0,0.0019208,0.0019208,0.0019208
6,68.5108,1.52844,2.37095,0.73454,1.29966,0,0.94225,0.95726,0.96854,0.54679,0.92445,0.93067,0.94645,0.47866,1.49883,2.41931,0.68772,1.35829,0,0.001901,0.001901,0.001901
7,79.7523,1.51664,2.3339,0.71189,1.27727,0,0.96503,0.96953,0.98332,0.56043,0.9479,0.93732,0.95979,0.46767,1.44438,2.35889,0.64934,1.34249,0,0.0018812,0.0018812,0.0018812
8,91.7467,1.49683,2.28575,0.68779,1.26859,0,0.95872,0.91168,0.97392,0.55355,0.93827,0.88055,0.93668,0.46113,1.47768,2.48595,0.68573,1.35291,0,0.0018614,0.0018614,0.0018614
9,102.385,1.49161,2.24961,0.67934,1.27551,0,0.97609,0.96913,0.98401,0.56769,0.96157,0.95057,0.97073,0.50276,1.45756,2.20903,0.63822,1.33101,0,0.0018416,0.0018416,0.0018416
10,113.218,1.47954,2.2191,0.677,1.25833,0,0.97884,0.97531,0.99008,0.57528,0.95127,0.94777,0.96867,0.4856,1.43509,2.25279,0.60498,1.32618,0,0.0018218,0.0018218,0.0018218
11,122.677,1.49428,2.21369,0.67297,1.27601,0,0.97739,0.98533,0.99232,0.55425,0.96005,0.95347,0.97077,0.496,1.51957,2.1707,0.63168,1.38692,0,0.001802,0.001802,0.001802
12,132.033,1.47578,2.20069,0.66896,1.2611,0,0.98012,0.98339,0.98892,0.57488,0.96536,0.96676,0.97326,0.51163,1.43492,2.166,0.60047,1.31569,0,0.0017822,0.0017822,0.0017822
13,142.861,1.43843,2.17071,0.65072,1.25499,0,0.97056,0.92877,0.98539,0.57203,0.94347,0.91929,0.9567,0.48735,1.44895,2.25193,0.63744,1.33409,0,0.0017624,0.0017624,0.0017624
14,152.324,1.45845,2.1585,0.64063,1.25398,0,0.97677,0.97626,0.98316,0.57494,0.95914,0.95821,0.97025,0.50152,1.42661,2.1558,0.57592,1.31859,0,0.0017426,0.0017426,0.0017426
15,161.809,1.49908,2.20426,0.6707,1.26426,0,0.97819,0.97964,0.99084,0.5508,0.9541,0.95347,0.9655,0.4595,1.53301,2.23327,0.60622,1.39325,0,0.0017228,0.0017228,0.0017228
16,171.156,1.46439,2.12014,0.66604,1.26879,0,0.98267,0.9886,0.99081,0.58933,0.96025,0.9636,0.96621,0.50733,1.38779,2.09982,0.58685,1.29086,0,0.001703,0.001703,0.001703
17,182.054,1.42877,2.09217,0.63117,1.22463,0,0.96773,0.98101,0.99114,0.5841,0.96128,0.94306,0.96838,0.49987,1.43032,2.08887,0.58594,1.32203,0,0.0016832,0.0016832,0.0016832
