epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4426,1.88218,3.14975,1.53567,1.51816,0,0.17685,0.73077,0.23796,0.14033,0.17153,0.70879,0.22537,0.10536,1.52817,2.77188,11.6038,1.43946,0,0.000651852,0.000651852,0.000651852
2,28.0621,1.54698,2.40133,0.77029,1.30467,0,0.16172,0.73626,0.22433,0.13495,0.1593,0.72527,0.21718,0.10058,1.38719,3.38166,11.053,1.34997,0,0.00130547,0.00130547,0.00130547
3,40.6464,1.54141,2.40765,0.73824,1.30165,0,0.10503,0.73077,0.10044,0.05576,0.09634,0.67033,0.08812,0.03413,1.468,3.73619,8.46977,1.36945,0,0.00194588,0.00194588,0.00194588
4,52.9653,1.53808,2.3738,0.7162,1.28669,0,0.18006,0.51099,0.18008,0.11017,0.15876,0.45055,0.15123,0.05939,1.31063,3.63466,5.13734,1.29498,0,0.0019406,0.0019406,0.0019406
5,65.1251,1.4933,2.27992,0.6987,1.27442,0,0.23288,0.60989,0.24005,0.1533,0.23078,0.6044,0.23777,0.11524,1.31743,2.64561,5.53694,1.29779,0,0.0019208,0.0019208,0.0019208
6,78.8029,1.48289,2.22271,0.67586,1.26365,0,0.25391,0.6044,0.2574,0.15849,0.2516,0.5989,0.25394,0.11669,1.43197,2.78984,5.9678,1.33762,0,0.001901,0.001901,0.001901
7,92.7434,1.45654,2.18215,0.66852,1.25531,0,0.18988,0.55763,0.20943,0.12603,0.18911,0.54945,0.20639,0.10265,1.39223,2.58354,4.64924,1.31407,0,0.0018812,0.0018812,0.0018812
8,104.967,1.4467,2.15853,0.64996,1.2423,0,0.24031,0.51099,0.26504,0.1707,0.23772,0.50549,0.26148,0.13931,1.36012,2.46187,6.18728,1.2928,0,0.0018614,0.0018614,0.0018614
9,118.616,1.43815,2.1435,0.63708,1.23888,0,0.23148,0.46154,0.2459,0.15436,0.22486,0.46154,0.23775,0.11867,1.48354,2.50377,5.93236,1.39867,0,0.0018416,0.0018416,0.0018416
10,130.989,1.43353,2.13295,0.62516,1.22756,0,0.18043,0.52136,0.20324,0.12606,0.17486,0.51648,0.2001,0.10427,1.40244,2.48598,5.05265,1.34032,0,0.0018218,0.0018218,0.0018218
11,143.295,1.45502,2.1351,0.63722,1.25127,0,0.22612,0.57692,0.22855,0.13966,0.22372,0.57143,0.22566,0.11291,1.35984,2.49413,4.78026,1.31068,0,0.001802,0.001802,0.001802
12,155.547,1.43058,2.10659,0.62891,1.24701,0,0.2151,0.5989,0.23712,0.15837,0.21647,0.58242,0.23492,0.12897,1.24683,2.30161,4.23629,1.22784,0,0.0017822,0.0017822,0.0017822
13,167.778,1.40413,2.0583,0.60408,1.23595,0,0.22976,0.60808,0.23506,0.14431,0.22769,0.60259,0.23114,0.1166,1.42663,2.60573,5.62282,1.34092,0,0.0017624,0.0017624,0.0017624
14,179.928,1.43448,2.08215,0.61879,1.24583,0,0.27024,0.68976,0.27841,0.1771,0.27572,0.67033,0.27166,0.13861,1.35058,2.53166,5.65483,1.29888,0,0.0017426,0.0017426,0.0017426
15,193.625,1.43277,2.10583,0.6138,1.23191,0,0.24635,0.57143,0.25198,0.15859,0.24398,0.56593,0.24779,0.13008,1.39376,2.34747,5.2953,1.31724,0,0.0017228,0.0017228,0.0017228
16,205.894,1.43175,2.09449,0.61729,1.2299,0,0.17863,0.54945,0.20945,0.12628,0.17685,0.54396,0.20589,0.10238,1.40321,2.75217,5.43786,1.31284,0,0.001703,0.001703,0.001703
